ffmc,dmc,dc,isi,bui,fwi
87.7,8.5,19,10.9,8.5,10.1
86.2,10.4,23.6,8.8,10.4,9.3
87,11.8,26.1,6.5,11.7,7.6
88.8,13.2,28.2,4.9,13.1,6.2
89.1,15.4,31.5,12.6,15.3,14.8
88.7,16.5,33.5,10.7,16.4,13.5
87.4,17.2,35.4,4,17.1,5.9
87.4,18.5,37.9,6.6,18.4,9.7
86.8,19.7,40.6,7.4,19.6,11
29.9,10.1,29.5,0,10.9,0
49.4,10.7,31.6,0.4,11.6,0.2
67.3,11.4,33.7,1.3,12.3,0.9
77.8,13,37,1.1,13.9,0.8
85.5,15.4,40.7,3.9,15.9,5.5
91.5,19.8,45.8,8.4,19.8,12.2
89.9,22.5,50.2,9.5,22.4,14.3
90,25.2,54.4,11.7,25.1,17.7
88.4,27,57.9,7.7,27,13.3
85.7,28.3,63,4,28.2,8
87.4,30.8,68.2,4.4,30.8,9.1
89.4,34.5,74.3,5.9,34.4,12.3
91,38.8,80.9,11.1,38.7,21
91.2,43.1,87.4,10.3,43,21.1
91.7,48.1,94.7,9.9,47.9,21.7
95.2,54.5,102.1,34.5,54.3,52.6
89.7,57.4,108.8,11.3,57.2,25.9
62.2,29.9,91.8,1.4,33,3
76.7,31.3,96.3,2.3,34.5,5.4
83.5,33.4,101.6,3.8,36.7,8.9
88.7,37.1,107.8,5.6,39.9,12.8
86.7,38.7,112.8,8.1,41.6,17.3
89.6,41.7,117.9,15.9,44.2,28.8
92.1,45.9,123.9,10.1,47.7,21.9
21.3,20.1,97,0,26.5,0
51,18.3,103,0.2,25.3,0.2
82.3,22.1,108.9,3.3,29.3,6.8
75.4,16.4,106.4,2.1,23.7,3.8
84.3,18.2,110.6,6.4,25.8,11.3
90.3,22.1,116.4,10,29.9,17.2
77.6,18.7,117.7,1.6,26.8,2.9
90.2,23.8,125.5,13.4,32.3,22
65.3,13.1,108.5,1.4,20.2,1.9
55.4,7.7,91.6,1.2,12.8,0.8
80.8,11.3,97.8,1.9,17.6,2.6
61.7,8.4,97.9,1.2,13.8,0.9
64.5,9,101.9,1.7,14.7,2
77.6,10.5,106.3,2,16.8,2.8
85.4,13.1,111.5,3.5,20.3,5.8
88.5,16.3,117.1,4.4,24.2,7.9
